signal,domain,ece_pre,ece_post,ece_delta,fd_pre,fd_post,fd_delta,n_subjects
lc,Humanities,0.16764686364001793,0.17028359924236336,0.0026367356023454,0.6704647103623315,0.44371153763009524,-0.22675317273223605,13
lc,Other,0.13746695076726656,0.20001116893132137,0.06254421816405475,0.5320409593505613,0.3935153547280441,-0.13852560462251706,2
lc,Professional / Medical,0.19734971344573435,0.17564065243681398,-0.02170906100892035,0.9161593718192845,0.46886780259361677,-0.4472915692256678,14
lc,STEM,0.2523572242527493,0.20693866921065962,-0.04541855504208962,0.9661597132925268,0.4522101977699797,-0.5139495155225471,17
lc,Social Sciences,0.19139200581868068,0.16158022840989103,-0.02981177740878964,0.7878234526479019,0.4499817437770164,-0.3378417088708854,11
tp,Humanities,0.214284995158447,0.13936004163290006,-0.07492495352554691,105.79334824458975,0.4625591165397957,-105.33078912804997,13
tp,Other,0.16028481058432525,0.16835416615758844,0.008069355573263201,71.91152589264232,0.4156376196440479,-71.49588827299827,2
tp,Professional / Medical,0.24343887434081898,0.16335320711235335,-0.08008566722846565,156.8936095975935,0.46570693491788034,-156.42790266267565,14
tp,STEM,0.29667056488372884,0.1849188388630875,-0.11175172602064128,131.8131290824248,0.49436647125870875,-131.3187626111661,17
tp,Social Sciences,0.24777853148405857,0.14979488195718368,-0.09798364952687484,133.52047458130497,0.45419649337181417,-133.0662780879331,11
su,Humanities,0.15596316514245495,0.09795024050477821,-0.05801292463767671,1.3335807265201907,0.46267716028473294,-0.8709035662354576,13
su,Other,0.1097798680795132,0.14055538913836016,0.030775521058846903,1.0496898389846032,0.4189528278801986,-0.6307370111044046,2
su,Professional / Medical,0.18338313137988266,0.12157114152115846,-0.06181198985872421,1.5406296115254707,0.48140329109629765,-1.0592263204291732,14
su,STEM,0.23988669671319915,0.14690028138485745,-0.09298641532834166,1.7724612851202177,0.5325802625578836,-1.2398810225623345,17
su,Social Sciences,0.18975751135126984,0.10510079996859893,-0.08465671138267089,1.5497848489639516,0.4701055321965768,-1.0796793167673746,11
