lexicon_pct,signal,original_ECE,original_FD,calibrated_ECE,calibrated_FD,rewritten_ECE,rewritten_FD
25,lc,0.40696046413656783,1.98219529102917,0.11718242237627262,0.46154478140428784,0.2618927479951584,0.7649166791980047
25,su,0.3531947478790278,2.488325789969579,0.07619260353366478,0.47070262423921655,0.24422165789509745,0.7250381557861767
25,tp,0.23804125772724005,13.69359887110652,0.10513680972087461,0.46788489149379214,0.24132315392162443,0.7012707278559467
50,lc,0.4071069117124455,1.98219529102917,0.11698713991385162,0.46154478140428784,0.2399264611682576,0.6891392533423581
50,su,0.35331310086160306,2.488325789969579,0.07613070067332875,0.47070262423921655,0.22019395412268522,0.6302282269379366
50,tp,0.2380111164337454,13.69359887110652,0.10576998735222178,0.46788489149379214,0.23305225614221792,0.6668535006010005
75,lc,0.4069392638691146,1.98219529102917,0.11755343053624279,0.46154478140428784,0.25912496496845533,0.7585024971751274
75,su,0.35342920237379527,2.488325789969579,0.07584019035105172,0.47070262423921655,0.2314718573629822,0.6621434756935213
75,tp,0.23845034105034882,13.69359887110652,0.10524209689975597,0.46788489149379214,0.24246686408027823,0.683195976821793
100,lc,0.4068196893042863,1.98219529102917,0.11749277092568494,0.46154478140428784,0.2492141760182481,0.7069521991741468
100,su,0.3533757349987291,2.488325789969579,0.07624379937312714,0.47070262423921655,0.22888110574507126,0.6457766164241463
100,tp,0.23808316409627991,13.69359887110652,0.10580660807035712,0.46788489149379214,0.24105742645188066,0.6733490335232188
